Polarity,Review Text
0,"ينتن! : شهور تهوين المكان ولا تطلع هالريحة المعطنة الي طالعة من هالحصيرة، تباعد عنها قد ما تقدر."
0,"تخيب الآمال: كانت هاذي اول رواية لي اقراها حق دانيل ستيل، واني حدي متأسفة اني اقول اني حسيت بخيبة امل بخصوصها. كانت القصة حليوة لدرجة اني لصقت فيها للنهاية، لكن الكاتب كان حده يحتاج محرر زين. عاد المؤلف روحه مرة عقب مرة. حسيت اني قاعدة اقرا المسودة الاولى بدل المنتج الاخير. اذا كنت تستاتس بالقراءة عشان تنمية شخصية وحلاوة اللغة نفس حبكة القصة، ما اوصي بهالكتاب."
0,"اشتريت هالمعصرة. عقب اشهر من الاستخدام. شيرت. وبعدها تحت القرنتي، طرشته للشركة. عقب شهرين طرشوا لي خلاط جديد. عقب شهرين من نهاية القرنتي، شير مرة ثانية. احس اني متاسفة."
0,مو خلاط للفواكه المثلجة: اشتريت هالخلاط قبل سنة عشان اسوي عصاير فواكه مثلجة. توقعت ان يشتغل بشكل زين. الحين ما تدور الشفرات والجزء الي تحت يصدي بكل شيء.
0,"حده يفشل!! يعور الاذاين. وصلني كهدية عيد الميلاد الجاي. الخلاط يخلط زين وفيه غرشة زجاح. هذا عن ايجابياته. هذا ازعج مكاين المطبخ الي سمعتها. تطن اذوني عقب ما استعمله وساعات يعور اذايني. دوران الشفرات يخلي جرة الخلاط تنفچ من القاعدة. خمن اي قد يكون يونس انك تنظفه. مو مزعج بس الا انك تبي تكون في حجرة ثانية لما يشتغل، الا لازم ان توقف هناك وتخلي الغرشة ثابتة او بيسوي ليك سالفة شكبرها على اياديك. لا تشتري هالخلاط! هاذي اول مرة الي صادتني فيها خيبة امل."
0,"حده يفشل!! يعور الاذاين. وصلني كهدية عيد الميلاد الجاي. الخلاط يخلط زين وفيه غرشة زجاح. هذا عن ايجابياته. هذا ازعج مكاين المطبخ الي سمعتها. تطن اذوني عقب ما استعمله وساعات يعور اذايني. دوران الشفرات يخلي جرة الخلاط تنفچ من القاعدة. خمن اي قد يكون يونس انك تنظفه. مو مزعج بس الا انك تبي تكون في حجرة ثانية لما يشتغل، الا لازم ان توقف هناك وتخلي الغرشة ثابتة او بيسوي ليك سالفة شكبرها على اياديك. لا تشتري هالخلاط! هاذي اول مرة الي صادتني فيها خيبة امل."
0,"واصل لجم دقيقة :بغيت اشتري مقياس الحرارة الجديد والمطور، بس امازون عرضته من عند بائع خارجي فرض رسوم على الشحن.... ويبين ان مقياس الحرارة دا حصلت على ردة فعل إيجابية من اللي اشتروه، عشان جدي رحت ويا الخيار الارخص. استلمته الاسبوع الي طاف واستخدمته امس في الليل على الستيك عندنا. اشتغل عدل في البداية. قدرت اضبط درجة الحرارة العدلة على الشاشة وشفت ان قراية درجة الحرارة تنزل مجرد ما ينتقل المجس من العداد للحم. لما طالعته عقب خمس دقايق تقريبا، كانت الشاشة فاضية. جربت ويا حبتها بس من دون فايدة. فكرت عقب ان يمكن من البتاري. بس حتى عقب البتري الجديد، الا ان الطاقة ما ترجع مرة ثانية! عشان جذي اذا ما عندك حاجة لمقياس حرارة يخترب عقب خمس دقايق، جوف لك ماركة غير!"
0,"مافي دراما : اني ما احب اعطي هالكتاب تقيم نازل لكنه كان حده ممل. يمكن يخليك العنوان تفكر ان المولفة بترسم قصة شخصين وتقارن الجوانب، بس في الصدق تقولك في اول جم صفحة انها تعتبره صاحب الرؤية. ماكان في الكتاب الشي اللي يبين انه شرير كلش. عندي اهتمام عود الا اني ما قدرت اخلص هالكتاب- وكانت هذاي ثاني محاولة حقي."
0,حده حده يخيب الامال: كواليتي الصورة والصوت كلش كجرة واللي اخس منها الفيديو ويمكن نسخة لشي مبيوق.
0,"كلش صغيرة : كنت احارس ان احطها على سيارتي، وهي كلش صغيرة. كان لازم اني اقرا السايز من قريب قبل لا اشتري."
